learning_rate,weight_decay,dropout,momentum,accuracy,precision,sensitivity,specificity,MCC,AUC,Auc
0.001,0.01,0.8,0.5,0.740963855,0.9,0.568965517,0.930379747,0.529823568,0.749672632,0.841444784
0.001,0.01,0.8,0.5,0.746987952,0.75,0.692307692,0.795454545,0.491209364,0.743881119,0.818582459
0.001,0.01,0.8,0.9,0.795180723,0.855072464,0.710843373,0.879518072,0.59894324,0.795180723,0.860756278
0.001,0.01,0.8,0.9,0.737951807,0.78807947,0.683908046,0.797468354,0.482792152,0.7406882,0.822730249
0.001,0.01,0.8,0.9,0.780120482,0.817567568,0.724550898,0.836363636,0.564231245,0.780457267,0.849972782
0.001,0.01,0.8,0.9,0.756024096,0.84962406,0.649425287,0.873417722,0.532871035,0.761421504,0.856721955
0.001,0.01,0.8,0.9,0.759036145,0.792307692,0.66025641,0.846590909,0.518260878,0.75342366,0.839124417
0.01,0.0001,0.2,0.1,0.789156627,0.772727273,0.819277108,0.759036145,0.57936546,0.789156627,0.875235883
0.01,0.0001,0.2,0.1,0.707831325,0.776978417,0.620689655,0.803797468,0.429716108,0.712243562,0.818892769
0.01,0.0001,0.2,0.1,0.768072289,0.777777778,0.754491018,0.781818182,0.536455234,0.7681546,0.848484848
0.01,0.0001,0.2,0.1,0.737951807,0.795918367,0.672413793,0.810126582,0.485168162,0.741270188,0.825840244
0.01,0.0001,0.2,0.1,0.753012048,0.768115942,0.679487179,0.818181818,0.503986394,0.748834499,0.839889277
0.01,0.0001,0.2,0.5,0.792168675,0.793939394,0.789156627,0.795180723,0.584347952,0.792168675,0.871098853
0.01,0.0001,0.2,0.5,0.734939759,0.747126437,0.747126437,0.721518987,0.468645424,0.734322712,0.819038266
0.01,0.0001,0.2,0.5,0.771084337,0.769230769,0.778443114,0.763636364,0.542158185,0.771039739,0.848303393
0.01,0.0001,0.2,0.5,0.731927711,0.74566474,0.74137931,0.721518987,0.462772068,0.731449149,0.82373054
0.01,0.0001,0.2,0.5,0.740963855,0.743055556,0.685897436,0.789772727,0.479031832,0.737835082,0.848849068
0.01,0.0001,0.2,0.9,0.792168675,0.793939394,0.789156627,0.795180723,0.584347952,0.792168675,0.855548701
0.01,0.0001,0.2,0.9,0.701807229,0.716763006,0.712643678,0.689873418,0.402407331,0.701258548,0.802378874
0.01,0.0001,0.2,0.9,0.777108434,0.785276074,0.766467066,0.787878788,0.554426342,0.777172927,0.848013065
0.01,0.0001,0.2,0.9,0.731927711,0.770700637,0.695402299,0.772151899,0.467698823,0.733777099,0.818165284
0.01,0.0001,0.2,0.9,0.734939759,0.707317073,0.743589744,0.727272727,0.470041437,0.735431235,0.824246066
0.01,0.0001,0.5,0.1,0.795180723,0.840277778,0.728915663,0.861445783,0.595615382,0.795180723,0.865945711
0.01,0.0001,0.5,0.1,0.740963855,0.778481013,0.706896552,0.778481013,0.485377564,0.742688782,0.832387604
0.01,0.0001,0.5,0.1,0.789156627,0.839160839,0.718562874,0.860606061,0.584798899,0.789584467,0.870694974
0.01,0.0001,0.5,0.1,0.768072289,0.859259259,0.666666667,0.879746835,0.555551843,0.773206751,0.839989815
